buffer_size 32768
Pin to CPU 4
Pointer Chasing: 3743761 cycles.
Pointer Chasing: 3768385 cycles.
Pointer Chasing: 3747094 cycles.
Pointer Chasing: 3831452 cycles.
Pointer Chasing: 3754285 cycles.
Pointer Chasing: 3762818 cycles.
Pointer Chasing: 3747840 cycles.
Pointer Chasing: 3754780 cycles.
Pointer Chasing: 3775123 cycles.
Pointer Chasing: 3750144 cycles.
Pointer Chasing: 3744925 cycles.
Pointer Chasing: 3758827 cycles.
Pointer Chasing: 3748807 cycles.
Pointer Chasing: 3773359 cycles.
Pointer Chasing: 3754018 cycles.
Pointer Chasing: 3754162 cycles.
Pointer Chasing: 3764647 cycles.
Pointer Chasing: 3725766 cycles.
Pointer Chasing: 3746108 cycles.
Pointer Chasing: 3752858 cycles.
Pointer Chasing: 3743310 cycles.
Pointer Chasing: 3769767 cycles.
Pointer Chasing: 3757338 cycles.
Pointer Chasing: 3790284 cycles.
Pointer Chasing: 3755918 cycles.
Pointer Chasing: 3753412 cycles.
Pointer Chasing: 3827751 cycles.
Pointer Chasing: 3753681 cycles.
Pointer Chasing: 3757966 cycles.
Pointer Chasing: 3742380 cycles.
Pointer Chasing: 3744172 cycles.
Pointer Chasing: 3755145 cycles.
Pointer Chasing: 3750658 cycles.
Pointer Chasing: 3741678 cycles.
Pointer Chasing: 3787543 cycles.
Pointer Chasing: 3747412 cycles.
Pointer Chasing: 3768524 cycles.
Pointer Chasing: 3741966 cycles.
Pointer Chasing: 3757492 cycles.
Pointer Chasing: 3767346 cycles.
Pointer Chasing: 3746463 cycles.
Pointer Chasing: 3770215 cycles.
Pointer Chasing: 3760277 cycles.
Pointer Chasing: 3745317 cycles.
Pointer Chasing: 3833594 cycles.
Pointer Chasing: 3757349 cycles.
Pointer Chasing: 3760820 cycles.
Pointer Chasing: 3749683 cycles.
Pointer Chasing: 3768435 cycles.
Pointer Chasing: 3760172 cycles.
Pointer Chasing: 3728427 cycles.
Pointer Chasing: 3742517 cycles.
Pointer Chasing: 3748364 cycles.
Pointer Chasing: 3746905 cycles.
Pointer Chasing: 3826952 cycles.
Pointer Chasing: 3749287 cycles.
Pointer Chasing: 3769015 cycles.
Pointer Chasing: 3750233 cycles.
Pointer Chasing: 3764171 cycles.
Pointer Chasing: 3769403 cycles.
Pointer Chasing: 3729830 cycles.
Pointer Chasing: 3755702 cycles.
Pointer Chasing: 3745315 cycles.
Pointer Chasing: 3752727 cycles.
Pointer Chasing: 3773949 cycles.
Pointer Chasing: 3745273 cycles.
Pointer Chasing: 3768839 cycles.
Pointer Chasing: 3746941 cycles.
Pointer Chasing: 3748155 cycles.
Pointer Chasing: 3819248 cycles.
